id,image_text
0,a toy story 
1,a woman cooking in a kitchen.
2,a trash can and a green trash can.
3,a bird vs a woman
4,a woman with long hair and a man with long hair and a man with long.
5,a black background with a white
6,a woman with a fire in the background.
7,a fox sitting on a chair.
8,a woman 
9,a group of robots and a man with a chalk board.
10,a group of people eating food.
11,president person in the oval room of the white house vs the president and first lady of the united states
12,a man smiling for the camera vs  yo
13,a meme in 2019 and a picture of a meme in 2019.
14,a man in a red shirt.
15,a woman wearing a pink and white dress.
16,a cartoon character  vs a woman in a pink dress
17,a man with a beard and glasses.
18,two men in suits and bow ties.
19,a man talking on the phone.
20,a baby and an image of the avengers.
21,the avengers and captain marvel memes.
22,a group of avengers avengers avengers memes avengers memes avengers memes avengers me.
23,"the avengers avengers memes, avengers memes, avengers memes, avengers me vs a man in a room "
24,dead dead dead dead dead dead dead dead dead dead dead dead dead dead dead dead.
25,a man in a dark room.
26,"the avengers avengers memes, avengers comics, avengers memes, avengers memes."
27,captain america  vs a man in a suit and tie
28,"a man in a suit and tie, "
29,a young boy 
30,a man in a top hat and top hat 
31,the avengers movie.
32,a man and a woman talking.
33,the avengers movie still not watched.
34,captain marvel and a picture of captain marvel.
35,a man in the middle of a movie.
36,"a man in a suit and tie, "
37,a woman in a costume and a man in a suit.
38,captain marvel and a photo of the avengers vs captain marvel and a picture of captain marvel
39,a man with a beard 
40,a family  vs a woman standing in front of a mirror
41,a man talking to another man.
42,"a person standing in a room vs avengers avengers memes, avengers memes, avengers memes, avengers memes"
43,a man in a suit and tie vs a man with a beard and a man with a beard and a man with a
44,"avengers avengers memes, avengers memes, avengers memes, avengers memes vs person and person in the avengers movie"
45,"a man in a leather jacket  vs iron man in the avengers movie avengers memes, avengers memes, avengers me"
46,loki and loki 
47,a man in a superman suit  vs a man in a superman costume
48,the avengers ending movie.
49,a man talking to another man.
50,"captain america, captain america, captain america, captain america, captain america, captain."
51,captain america and the avengers.
52,a black man with many different faces.
53,some of the characters in star wars.
54,avengers avengers mememe mememe mememe mememe meme.
55,a man wearing a hat and jacket.
56,a woman smiling and wearing a costume vs a man with a beard and a woman with a beard and a man with a
57,a man with a gun in his hand vs a man with a mustache and glasses
58,a man in a suit talking to another man in a suit.
59,captain america 
60,a man holding a light in his hand vs a mouse and a mouse
61,a man holding a glove.
62,a man with glasses on his face.
63,a man with headphones on.
64,captain america and the avengers vs a group of people sitting on a bench
65,a man in a captain costume.
66,person and iron man from the avengers movie.
67,a woman in a red dress and a man in a black suit.
68,a woman holding a cat.
69,a bunch of superheros and a picture of a bunch of superheros.
70,a woman in the woods vs two people standing in front of a mountain
71,a man standing in the middle of a city.
72,a man in a black hoodie 
73,"avengers avengers memes, avengers memes, avengers memes, avengers memes."
74,a man in a spider suit 
75,captain america and hawke's shield.
76,a man in armor  vs a man sitting on a bench 
77,a man and woman talking to each other people.
78,a man holding a gun.
79,a person sitting on the ground.
80,a man with glasses and a woman with glasses.
81,captain america with the capt vs captain america and the avengers
82,a man in a red coat 
83,a group of superheros 
84,a man in a suit and tie walking with a woman in a red dress.
85,a man in a tuxed tuxed tuxed tuxed tuxed tuxed.
86,a baby in a tuxed tuxed tuxed tuxed tuxed tuxed.
87,a man in a trench coat pointing at the camera.
88,a baby in a tuxed tuxed tuxed tuxed tuxed tuxed.
89,a person sleeping on a couch.
90,a man in a tuxed tuxed tuxed tuxed tuxed tuxed.
91,a baby 
92,a baby in a tuxed suit.
93,a baby in a car seat.
94,a woman with glasses on.
95,a baby in a tuxed tuxed tuxed tuxed tuxed tuxed.
96,a baby in a bathtub.
97,a baby in a tuxed tuxed tuxed tuxed tuxed tuxed.
98,a woman in a white dress and a man in a black suit.
99,yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo.
100,a baby sitting on the ground.
101,a baby in a tuxed vs santa claus pointing at the camera
102,a girl 
103,a man in a suit and tie.
104,a little boy in a suit and top hat holding a baseball bat.
105,a man in a tuxed tuxed tuxed tuxed tuxed tuxed.
106,two men in mexican costumes playing guitars.
107,a group of people sitting around a table.
108,a group of people sitting around a table.
109,a man in a suit and tie.
110,person and person from the big bang bang bang bang bang bang bang bang bang bang.
111,a man and a woman in a car.
112,a man in a suit 
113,a man in a suit and tie.
114,a man with long hair and beards in front of a fire vs a man in a suit standing in front of a castle
115,a man with a bald hair and glasses.
116,the face of a person 
117,a man in a suit holding a glass.
118,a man in a suit and tie.
119,a man in a suit talking to another man.
120,a man in a suit holding a glass.
121,a man in a suit and bow tie.
122,a man sitting on a couch.
123,a man in a suit and tie.
124,a man in a suit and tie.
125,two people sitting at a table.
126,a man in a suit and tie.
127,a man standing in front of a building.
128,a man in a suit and tie.
129,a man in a suit.
130,a man sitting on a couch 
131,a man holding a basketball hoop.
132,a man holding a glass of wine.
133,a man in a suit holding a glass.
134,a man holding a glass of champagne.
135,a woman with glasses and a green sweater.
136,a man in a suit sitting on a couch.
137,a man in a suit and tie.
138,two people sitting at a table.
139,a man in a suit and tie.
140,two people sitting on a couch.
141,a man in a suit and tie looking at another man in a suit and tie.
142,a man in a suit and tie.
143,three men sitting on a couch.
144,a man in a suit and tie.
145,a child in a costume.
146,a man in a suit and tie.
147,a group of people sitting around a table.
148,a man and a woman talking to each other people.
149,a bunch of people in a room.
150,a man in a bar 
151,a man in a suit holding a cell.
152,a man in a suit and tie.
153,a man in a car 
154,a doctor talking to a patient.
155,"two men sitting on a couch, one is talking to the other man."
156,a pie with a pie pie pie pie pie pie pie pie pie pie pie pie.
157,"a man holding a sign that says, when you're, you're."
158,a man with glasses and a mustache.
159,a man in a suit standing in a field.
160,a man in a suit and tie 
161,a man with long hair.
162,a woman driving a car.
163,a man with a smile on his face vs a man smiling 
164,a man in a suit and tie.
165,a baby in a pink hat.
166,a man in a suit sitting at a desk.
167,two people sitting in chairs.
168,an elephant and a woman.
169,a man and woman 
170,a black and white poster  vs a man riding a bike
171,a man in a suit and tie.
172,a crowd of people at a concert.
173,a man in a suit and tie.
174,a man in a suit holding a microphone.
175,a man riding on top of a car.
176,a man in a suit and tie.
177,a man in a suit on the beach.
178,a man in a white shirt 
179,a man driving a car vs a man in a car
180,a man sitting on top of a car.
181,a man in a suit standing in a field.
182,a woman and a man sitting on the floor.
183,a man standing in a bathroom.
184,a man riding a motorcycle.
185,a man with a beard and a beard.
186,a man with his hands on his hips.
187,a cat sitting at a table.
188,a man in a suit standing on the beach.
189,a man with a surprised look on his face.
190,a man in a suit and tie.
191,a girl holding a mirror in front of her face.
192,a man in a suit and tie.
193,a man in a suit on the beach.
194,a man with tattoos and a woman with tattoos.
195,a man in a suit and tie vs a man 
196,a man in a blue hoodie sitting on a red couch.
197,a man sitting on a beach chair.
198,a man in a suit walking down the street.
199,a woman drinking a drink vs a man in a suit and tie
200,a birthday card  vs a man in a suit and tie
201,a man with a card in his hand.
202,a man in a suit sitting at a desk.
203,a man in a suit and tie.
204,a man standing on top of a car.
205,a man with red eyes.
206,a man in a suit and tie.
207,a man in a suit and tie.
208,"a man in a suit and tie, "
209,"a man in a black shirt and hat, "
210,a bird  vs a man in a suit and tie
211,two men in military uniforms.
212,a man pointing at something.
213,a man in a suit and tie.
214,a man in a uniform and a man in a suit.
215,a man wearing a suit and tie.
216,a man reading a book vs a black and white poster 
217,a man in a suit and tie.
218,a man in a suit and tie.
219,a man in a red uniform and a man in a suit.
220,an old man with a beard.
221,a man and a cat in a car vs a man with a cat on his shoulder
222,a man in a suit and tie.
223,a man holding a microphone.
224,a man in a suit and tie.
225,a man in a suit and tie.
226,a man holding a camera.
227,a man in a pirate costume.
228,two men in a car.
229,a man in a suit and tie.
230,a man and a woman.
231,"a man with a hat and armband saying, ` i can't see."
232,a woman and a man vs a man with a fake smile on his face
233,a woman and a man vs a white background with a black and white
234,a man holding a teddy bear.
235,a man holding a teddy bear.
236,a man in a suit and tie holding a camera.
237,a man riding a bike.
238,a man in a suit and tie.
239,a man with a beard and a man with a beard.
240,a man with a surprised look on his face vs a man in a suit and tie
241,a man holding a teddy bear.
242,an angel holding a knife vs a man with a bird on his head
243,a man sitting in a chair vs a man in a suit and tie
244,a man driving in a car vs a man in a car
245,a man in a suit 
246,a man wearing a suit and tie.
247,a man in a suit doing a trick.
248,a man with a funny expression.
249,a man in a suit and tie.
250,a man sitting at a table with a cake in front of him.
251,a man holding a camera.
252,a man in a suit and hat.
253,a man wearing a suit and tie.
254,a man in a suit and tie.
255,a man in a suit and tie.
256,a man in a leather jacket.
257,a man in a suit and tie.
258,two men sitting in a courtroom.
259,a man in a medieval costume vs a man in a suit and tie
260,a man in a suit and tie.
261,a british flag  vs a man in a suit holding a drill
262,the teacher's desk 
263,
264,two women 
265,an old man with a hood on his head 
266,a person 
267,
268,
269,a white background 
